"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-05","10.74"," 1309"," 1249","0.00","0.0","0.0","31","39","23",,"  360","  350","23.0","25.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-06","9.62"," 1252"," 1440","0.00","0.0","0.0","36","53","19",,"  340","  330","29.1","34.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-07","3.36"," 0113"," 0111","0.00","0.0","0.0","37","53","20",,"  350","  350","12.1","13.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-08","4.47"," 1612"," 1540","0.00","0.0","0.0","48","67","29",,"  350","  340","19.9","23.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-09","7.61"," 2316"," 2315","0.00","0.0","0.0","43","60","26",,"  350","  350","23.9","30.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-10","10.96"," 0651"," 0656","0.00","0.0","0.0","22","32","12",,"  350","  340","25.1","29.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-11","13.42"," 1450"," 1348","0.00","0.0","0.0","18","26","10",,"  180","  180","25.1","29.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-12","13.42"," 0706"," 0855","0.01","0.0","0.0","19","25","13",,"   10","  360","23.9","25.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-13","8.05"," 1322"," 1321","0.02","0.0","0.0","15","21","8",,"  150","  160","17.0","19.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-14","6.26"," 1301"," 1316","0.00","0.0","0.0","19","30","8",,"  130","  140","15.0","17.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-15","13.87"," 1018"," 1015","0.00","0.0","0.0","21","28","13",,"  360","  360","38.9","45.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-16","8.05"," 1620"," 1618","0.00","0.0","0.0","30","49","11",,"  350","  350","25.1","30.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-17","6.93"," 1533"," 1533","0.00","0.0","0.0","27","36","17",,"   30","   30","15.0","17.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-18","4.92"," 1212"," 1357","0.00","0.0","0.0","26","34","18",,"  140","  160","12.1","14.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-19","7.83"," 1108"," 1136","0.00","0.0","0.0","31","46","15",,"  340","  340","21.9","23.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-20","5.59"," 1318"," 1501","0.00","0.0","0.0","36","55","16",,"  150","  130","15.0","17.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-21","6.49"," 0454"," 0454","0.00","0.0","0.0","52","68","35",,"  220","  250","16.1","23.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-22","6.04"," 1506"," 1529","0.00","0.0","0.0","51","69","33",,"   50","   60","17.0","17.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-23","4.92"," 0231"," 1454","0.00","0.0","0.0","46","62","29",,"  340","  140","13.0","14.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-24","8.05"," 1626"," 1617","0.00","0.0","0.0","46","63","29",,"  140","  160","21.9","25.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-25","28.63"," 2340"," 2259","0.12","1.5","2.0","37","43","30",,"  330","  330","55.0","63.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-02-26","19.46"," 2358"," 0137","0.00","0.0","0.0","35","44","25",,"  330","  320","51.9","61.1"
